company,title,location,description
The Product Engine,Fullstack Web Developer," Одеса, за кордоном, віддалено",4+ years of experience in Fullstack Web Development. Proficiency in React and Python Strong understanding of basic cloud concepts and deployment strategies. Experience with unit testing and comfortable with writing tests as part of the development process. Experience with GitHub Excellent written and spoken English skills for clear communication in a remote work environment. Experience working with Ruby and PHP Experience working with a remote US-based team Experience with legacy codebases is a plus Experience using tools like Copilot and ChatGPT for productivity Updating existing web pages to be responsive and adhere to the specifications we get from product and design teams Adding new features into an existing app Updating our interface with Elasticsearch Migrating our docker image container from one vendor to another More phased work to make our virtual goods Marketplace responsive Rewriting or refactoring existing applications Getting more nuanced with our metrics and A/B tests 
Solvits Solutions,Middle AI/ML Engineer with Python, віддалено,"Conduct data pre-processing and analysis using Pandas and other libraries to ensure data integrity and relevance. Develop, fine-tune, and test large language models (LLMs) to meet specific project requirements. Collaborate with cross-functional teams to integrate AI solutions into our products and services. Stay up-to-date with the latest advancements in AI/ML, LLMs, and prompt engineering to apply best practices. Document and communicate technical solutions and decisions clearly and concisely. Minimum 3 years of experience with Python and Pandas for data analysis and manipulation. Proven experience (at least 1 year) with large language models (LLMs) and prompt engineering. Nice to have: Strong understanding of machine learning concepts, algorithms, and techniques. Ability to work independently and as part of a team, with excellent problem-solving skills. "
assisterr - Data Layer for Decentralised AI,Middle Python Engineer, віддалено,"Architect and develop the infrastructure behind our core product:  AI Lab  — a no-code constructor for Small Language Models Design, build, and maintain scalable, secure, and high-performance backend systems using Python and FastAPI Collaborate closely with our AI and Web3 teams to create a seamless, powerful platform Develop and maintain ergonomic, open-source SDKs that creators will love Create clear, concise documentation and guides to boost adoption of our Platform APIs and SDKs Craft sample applications that showcase the power and ease-of-use of our platform Engage directly with creators to gather feedback and iteratively improve our APIs and SDKs Debug complex full-stack issues to ensure rock-solid stability, reliability, and security Participate in code reviews and help maintain our high standards of code quality 3 years of experience in backend software development, with a strong focus on Python Mastery of Python and its ecosystem (FastAPI, Pydantic, asyncio, etc.) Experience with MongoDB and Redis for high-performance data storage and caching Strong understanding of RESTful API design principles and best practices Familiarity with AI/ML libraries  Experience designing and developing client-side libraries and SDKs Solid understanding of distributed systems and event-driven architectures Passion for clear, comprehensive developer documentation Familiarity with containerization and CI/CD pipelines Python 3.12 FastAPI MongoDB Redis Competitive salary and equity package (including tokens) Remote-first culture with flexible hours Quarterly offsites for team bonding and collaboration Opportunity to work on cutting-edge AI and Web3 technologies Exposure to a rapidly growing user base (250k+ users and counting!) Flexible vacation policy Professional development budget Chief Executive Officer —  Nick Havryliak Chief Product Officer —  Dmytro Dimenko "
Radity GmbH,"Mid+ Backend Developer (Python, DRF)", віддалено,"Work on developing and maintaining web applications using Python. Design, develop, and maintain RESTful APIs using Django Rest Framework (DRF). Develop AI Integrations Write efficient and scalable code using the best software development practices. Collaborate with the team to define and implement new features and functionality. Write and maintain unit tests to ensure code quality. Write and maintain technical documentation. Optimize and maintain the security, performance, and usability of the applications. Collaborate with the frontend team to integrate frontend components with the backend API. Minimum 3 years of full-time experience (excluding studies and internships) Proficient in Python and Django DRF — Django Rest Framework Familiarity with PostgreSQL and Redis. Experience with Postman for testing and debugging APIs. Good understanding of software development principles and design patterns. Strong problem-solving skills and attention to detail. Ability to work well in a team environment. Nice-tohave: Java knowledge are beneficial. Good communication skills. Nice-to-have: Fullstack skills with react.js Nice-to-have: Experience with AI Integrations English level — B2. A degree in Software Engineering would be a plus. A dynamic, fast-paced work environment where you can develop your skills and grow professionally. Hands-on experience with cutting-edge technologies and the opportunity to work on real-world projects. Collaborative and supportive team members who are passionate about technology and quality. "
Inoxoft,Middle Python Software Engineer," Львів, Вроцлав (Польща), віддалено","We’re looking for a talented and passionate   who will help build and maintain product features. You will help to implement new features, integrate with third-party systems in a secure and reliable way, troubleshoot and resolve complicated and unique issues, and implement performance improvements.  Fintech platform, which helps to automate and simplify the bank investment process. Python, Django, PostgreSQL, AWS, React.js/Redux, Flutter 2 Back End devs, 1 Front End dev, 1 Flutter dev, QA, Designer, PM. — following and improving project conventions (architecture approach, code style, best practices) — following and suggest improvements for the existing project processes, methodologies and guidelines — estimation of tasks and functionality and fit with own estimates — creating and updating project documentation (technical and functional) — setup and maintenance of project environments — negotiation / explanation of technical questions and requirements with the clients — participation in technical interview with clients — guide, consult and make advices to team members with delivery of assigned tasks — contribute into employees growth by providing tech feedback and setting tech goals — conduct project related tech interview for external candidates — delivery of assigned tasks: — working closely with other staff, such as project managers, quality engineers, UI/UX designers, business analysts, sales and marketing professionals — following company processes (time log, vacation, internal policies, prescribed in InoXoft Guide) — investigation of new technologies — continuous update of technical knowledge and soft skills by attending in-house and external courses, reading manuals and accessing new applications — providing feedback to colleagues, managers and company — 2,5+ years of experience with Python and  . — Have experience with ORMs (PostgreSQL). — Experience with Clouds (AWS). — Experience with Unit Tests — Experience with React will be a plus — Develop and implement software solutions that meet project requirements and quality standards, using industry best practices and technologies. — Proactivity, curiosity, and outside the box thinking. — English Upper-intermediate is must. — Flexible working hours; — 25 paid days off and 10 sick/medical leaves; — Additional paid days off for personal events like marriage and childbirth; — Maternity/Paternity leaves; — Medical insurance; — Discount program; — Self-development budget per year; — Referral bonuses; — Corporate events and gifts; — Learning events and mentorship opportunities; — Speaking Clubs; — PE accounting and support."
SevenPro,Android Developer (with Python experience)," Київ, Харків, віддалено","Develop intuitive and visually appealing UI components for the Android-based imagery phenotyping MVP. Design and implement scalable backend systems for efficient data collection, storage, and processing of phenotypic information. Create APIs and interfaces for seamless integration with various agricultural hardware and software. Build a user-friendly data collection tool, including a farmer plot registration module as a core component. Establish data validation processes to ensure the accuracy, integrity, and consistency of collected data, adhering to relevant business rules. Optimize software performance and efficiency within resource-constrained agricultural environments. Conduct regular testing and quality assurance to ensure the reliability and robustness of the application. Perform thorough unit and integration testing to validate the solution’s scalability and robustness. Collaborate with cross-functional teams to gather software requirements and workflows, integrating necessary functionalities while following best practices. Provide technical guidance and training to internal teams on development practices and tools. At least 3+ years of proven experience as an Android Developer; Strong experience with Android (Kotlin, Java, Android studio); Experience with Python; Knowledge of API development and integration (RESTful services); Experience in cloud services (Google Cloud Platform, AWS, or Azure); Skilled in end-to-end testing, including unit and integration testing, to ensure software reliability and robustness. Experience with GCP (Google Cloud Platform) or a strong willingness to learn it; Knowledge of machine learning frameworks or computer vision algorithms, especially as they relate to agricultural or environmental data; Familiarity with working in resource-constrained environments, optimizing for efficiency and performance in challenging conditions. Working in a team of talented and passionate engineers; Opportunity to work with the most trending technologies; Long-term enjoyable cooperation; Personal legal support; Payable vacation and sick days; Competitive salary depending on your own talents; Regular performance & career development reviews; Team building events. "
Newsoft,Middle Strong/Senior Python Developer [USA project], Львів,"— 4+ years of experience as a Python developer. — Experience in developing large-scale, distributed systems. — Experience with concurrent programming and REST API development. — Strong knowledge of cloud infrastructure, particularly AWS (GCP, Azure experience is a plus). — Proficiency in FastAPI and NextJS.  — Upper-intermediate or higher level of English proficiency. — Proficiency in classical machine learning and deep learning techniques. — A proven track record in building, deploying, and maintaining machine learning systems. — Experience with multi-cloud architecture. — Architect and scale the system’s core to ensure resilience, high-quality design, and future readiness. — Develop innovative methods for interacting with embedding spaces, pushing the boundaries of AI-driven data exploration. — Engineer and optimize algorithms that can process large datasets, scaling interactive data maps to accommodate even larger datasets. — Collaborate with platform engineering to deliver features that empower enterprise clients, making the platform a go-to tool for AI-driven business solutions. — HR interview (30 minutes). — Technical interview (1 hour). — Interview with the customer (1 hour). — Job offer🎉🎉🎉 — Competitive salary. — Challenging tasks and projects. — Opportunities for professional development and growth. — Flexible working hours. — New hardware. — Free English lessons. — Table tennis and yoga classes. — Availability of generators and Starlinks in the office. — Small gym in the office. — Adjustable height tables. — Regular office fruit delivery and other benefits."
PLANEKS,Middle Python Full Stack Engineer, We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,"  0. Fast and comfortable hiring process. 1. 100% remote(even before the COVID) work opportunity and flexitime — choose working hours between  2. Manage your compensation $$$$ budget — Travel tickets, Work equipment, Health insurance, Software, Sport, Training. 3. Salary paid in USD + tax compensation. Revision every 1 year. We want everyone to be confident in what tomorrow brings. 4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends. 5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we’re proud of how we handle that. So you can always count on us. 6. Speaking clubs with a native speaker to constantly maintain your English level. 7. No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.   We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!     1. Software development experience( ) with: — Python and Django — Other Python frameworks (e.g., Flask) — PostgreSQL, MySQL — Celery, Redis, ElasticSearch — Cloud providers, DevOps, CI/CD — Unit, integration, E2E tests 2. Knowledge of REST and experience working with REST APIs 3. Experience with JS, HTML, CSS (Usually   of activity) 4. Communication skills in English (good writing and speaking)     1. Develop, support, and maintain projects in Python — usually, we create products from scratch but also have existing projects where the dev team should be extended. And also, we do not work with legacy codebases. 2. Solve technical challenges — all our projects are different, and you’ll never be bored with the same tasks every day, so your acquisitive mind will have great challenges regularly. 3. Take care of quality (code, test, business features, documentation) — everyone enjoys working with clean, readable code, so it is important to keep it such. 4. Participate in code reviews — usually, it is cross-reviews in the team or reviews by a senior person. 5. Communicate with internal and external teams — we’re in touch with great minds — inventive clients, and supportive colleagues! 6. Improve your technical and soft skills — just a normal evolution :)"
EPAM,Python Software Engineer for Big Data Retraining program," Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Хмельницький, Житомир, Ужгород, Черкаси, Чернівці, віддалено","Explore Big Data and Hadoop: Gain a solid understanding of Big Data concepts, delve into Hadoop’s infrastructure and real-world applications, and learn about data characteristics and deployment trends Understand DevOps Practices: Familiarize yourself with the basics of DevOps, including continuous integration and continuous deployment (CI&CD), and how these practices streamline software development and operations Master Data Modeling and Architectures: Learn the essential techniques and levels of data modeling, crucial for Data Engineers and Architects, to effectively manage and interpret complex data structures Dive into Apache Spark: Deepen your knowledge of Spark with detailed explorations of its architecture, components, and various functionalities including Spark SQL, Spark ML, and Spark Streaming Harness the Power of Kafka: Understand the fundamentals of Kafka, and explore Kafka Connect and Kafka Streams to manage real-time data feeds and perform stream processing Leverage Elastic Stack and NoSQL: Get hands-on experience with Elastic Stack for searching, analyzing, and visualizing data in real time, and explore NoSQL databases to manage large volumes of structured, semi-structured, and unstructured data Implement Data Flow and Pipelining: Learn about data movement essentials and tools like NiFi and Streamsets for effective data collection, flow, and processing Navigate Orchestration and Scheduling: Understand the role of orchestration in managing complex workflows using tools like Airflow and Jenkins Proficiency in Python, SQL, and cloud platforms (AWS, GCP, Azure) Experience with tools like Databricks, Spark, Docker, and Kubernetes is a plus 3+ years of production experience in IT at Level Middle+ English proficiency at B1+ or above Work on a flexible schedule remotely or from any of our comfortable offices or coworking spaces in Ukraine Receive the necessary equipment to perform your work tasks Change projects and technology stacks within EPAM Gain experience in various business domains (Insurance, E-commerce, Healthcare, Finance, Travelling, Media, Artificial Intelligence, and more) Consider relocation options in over 30 countries worldwide Participate in volunteer, charity programs and communities (both technical and interest-based) You can plan your individual career path together with your manager Receive regular feedback from colleagues Improve your English for free with certified teachers (Speaking Clubs, client interview preparation courses, etc.) Get the opportunity to undergo free training and certification in AWS, GCP, or Azure Clouds Use the internal E-learn training program (18,200+ specialized training and mentoring programs) Access corporate accounts on LinkedIn Learning, Get Abstract and other partner resources Study at EPAM Solution Architecture School with the instructors who are practicing architects Develop as a leader, join Delivery Management, Resource Management, Leadership Essentials school and more Participate in internal communities (500+ meetups, technical discussions, brainstorming sessions, online events and conferences annually) Vacation and sick leave (including a sick leave without a medical certificate) A wide range of Voluntary Medical Insurance programs providing both medical treatment and various preventive options (including sports activities) Medical insurance for family members at corporate rates Company support during significant life events (childbirth or adoption, marriage, etc.) Support for psychological comfort: discounts on services from mental health specialists or coaches, thematic training E-kids program — a free programming language training program for EPAMers’ children "
SoftServe,Middle Test Automation Engineer (Python); ID 94346," Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Луцьк, Полтава, Рівне, Тернопіль, Ужгород, Хмельницький, Чернівці, віддалено","маєш 3+ роки досвіду роботи Test Automation Engineer (Python);  працюєш з Linux операційною системою та командною строкою Linux;  знаєш тестові фреймворки, такі як PyTest та PyATS;  розумієш мережеві концепти IP, DNS, MAC, HTTP/HTTPS, SNMP, SSH, Telnet, TFTP, та SYSLOG;  маєш розуміння як працюють безпекові продукти, такі як NAT, IPS, VPN, Routers, або Switches;  розумієшся на автоматизації та інструментах генератора трафіку, наприклад Wireshark;  можеш вільно спілкуватись англійською мовою;  володієш методологіями контролю якості, процесами, методами розробки тестів і написанням планів тестування (буде перевагою).  працювати в сфері кібербезпеки на новій платформі безпеки;  створювати плани тестування для нової платформи безпеки з нуля та автоматизовувати тестові випадки;  проводити деббагінг та вирішувати мережеві проблеми;  здійснювати тестування, щоб переконатися в ефективності продукту;  впроваджувати власні ініціативи;  долучатись до впровадження нового платформного рішення, яке буде менш ресурсомістким;  співпрацювати з командою досвідчених професіоналів із кібербезпеки та хмарних сервісів.  користуватися можливостями навчання із SoftServe University та Udemy;  брати участь у конференціях, тренінгах, семінарах;  співпрацювати з провідними світовими компаніями та досвідченими експертами;  отримувати сертифікації від провідних клауд сервісів (Google, Amazon та інших).  "
